original,tokenized,drug_format
Solution For Injection (SC),solution for injection sc,solution
Suspension for Injection (S.C),suspension for injection sc,suspension
"Lyophilized Powder for 
Suspension for Intratracheal Administration",lyophilized powder for suspension for intratracheal administration,powder
Solution for Injection (I.V./S.C.),solution for injection iv sc,solution
Solution for Injection (IV/SC),solution for injection iv sc,solution
Solution For Injection (Im/Iv/Sc),solution for injection im iv sc,solution
Suspension For Injection (SC),suspension for injection sc,suspension
Suspension For Injection,suspension for injection,suspension
Solution for injection,solution for injection,solution
Suspension for injection (SC),suspension for injection sc,suspension
Solution For Injection (I.V. / S.C.),solution for injection iv sc,solution
Solution For Injection (I.V./S.C.),solution for injection iv sc,solution
Suspension for Injection (IM),suspension for injection im,suspension
Concentrated Solution for IV Infusion,concentrated solution for iv infusion,solution
Solution for Injection,solution for injection,solution
Solution for Injection (IM/SC),solution for injection im sc,solution
Solution for Injection (SC),solution for injection sc,solution
Concentrate for Solution for Infusion (IV),concentrate for solution for infusion iv,concentrate
"Solution for Subcutaneous/Continuous SC Pump Infusion/ 
Intravenous Injection",solution for subcutaneous continuous sc pump infusion intravenous injection,solution
Powder for Concentrate Solution for I.V. Infusion,powder for concentrate solution for iv infusion,powder
Powder for Concentrate Sol ution for I. V. Infusion,powder for concentrate sol ution for i v infusion,powder
Lyophilized Powder for Solution for Subcutaneous Injection,lyophilized powder for solution for subcutaneous injection,powder
Solution for Intravenous Infusion,solution for intravenous infusion,solution
Sterile Freeze-Dried Powder For Iv Infusion Or Injection,sterile freeze-dried powder for iv infusion or injection,powder
Solution for Injection (IM/IV/SC),solution for injection im iv sc,solution
Solution S.C. for Injection,solution sc for injection,solution
Solution For Injection (IV/SC),solution for injection iv sc,solution
Solution for Injection (S.C./I.V.),solution for injection sc iv,solution
Solution For Sc Injection,solution for sc injection,solution
Powder For Concentrate For Infusion (Iv),powder for concentrate for infusion iv,powder
Solution For Injection (Pre-Filled Syringe),solution for injection pre-filled syringe,solution
Solution For Injection (Intravitreal),solution for injection intravitreal,solution
Solution for Injection/ 150mg/ml,solution for injection mg ml,solution
Powder for Concentrate for Solution for IV Infusion,powder for concentrate for solution for iv infusion,powder
Suspension for Injection (SC) (Formulation: 30% Soluble Insulin and 70% Protamine Insulin Aspart Crystals),suspension for injection sc formulation soluble insulin and protamine insulin aspart crystals,suspension
