original,tok_sent,drug_roa_phrase,roa_detail_1,roa_detail_2,roa_detail_3
Solution For Injection (SC),solution for injection sc,for injection sc,['sc'],['injection'],
Suspension for Injection (S.C),suspension for injection sc,for injection sc,['sc'],['injection'],
"Lyophilized Powder for 
Suspension for Intratracheal Administration",lyophilized powder for suspension for intratracheal administration,for suspension for intratracheal administration,['intratracheal'],['suspension'],suspension
Solution for Injection (I.V./S.C.),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Solution for Injection (IV/SC),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Solution For Injection (Im/Iv/Sc),solution for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Suspension For Injection (SC),suspension for injection sc,for injection sc,['sc'],['injection'],
Suspension For Injection,suspension for injection,for injection,[],['injection'],
Solution for injection,solution for injection,for injection,[],['injection'],
Suspension for injection (SC),suspension for injection sc,for injection sc,['sc'],['injection'],
Solution For Injection (I.V. / S.C.),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Solution For Injection (I.V./S.C.),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Suspension for Injection (IM),suspension for injection im,for injection im,['im'],['injection'],
Concentrated Solution for IV Infusion,concentrated solution for iv infusion,for iv infusion,['iv'],['infusion'],
Solution for Injection,solution for injection,for injection,[],['injection'],
Solution for Injection (IM/SC),solution for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Solution for Injection (SC),solution for injection sc,for injection sc,['sc'],['injection'],
Concentrate for Solution for Infusion (IV),concentrate for solution for infusion iv,for solution for infusion iv,['iv'],['infusion'],solution
"Solution for Subcutaneous/Continuous SC Pump Infusion/ 
Intravenous Injection",solution for subcutaneous continuous sc pump infusion intravenous injection,for subcutaneous continuous sc pump infusion intravenous injection,"['intravenous', 'sc', 'subcutaneous']","['injection', 'infusion']",
Powder for Concentrate Solution for I.V. Infusion,powder for concentrate solution for iv infusion,for concentrate solution for iv infusion,['iv'],['infusion'],concentrate
Powder for Concentrate Sol ution for I. V. Infusion,powder for concentrate sol ution for i v infusion,for concentrate sol ution for i v infusion,[],['infusion'],concentrate
Lyophilized Powder for Solution for Subcutaneous Injection,lyophilized powder for solution for subcutaneous injection,for solution for subcutaneous injection,['subcutaneous'],['injection'],solution
Solution for Intravenous Infusion,solution for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Sterile Freeze-Dried Powder For Iv Infusion Or Injection,sterile freeze-dried powder for iv infusion or injection,for iv infusion or injection,['iv'],"['injection', 'infusion']",
Solution for Injection (IM/IV/SC),solution for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Solution S.C. for Injection,solution sc for injection,for injection,[],['injection'],
Solution For Injection (IV/SC),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Solution for Injection (S.C./I.V.),solution for injection sc iv,for injection sc iv,"['sc', 'iv']",['injection'],
Solution For Sc Injection,solution for sc injection,for sc injection,['sc'],['injection'],
Powder For Concentrate For Infusion (Iv),powder for concentrate for infusion iv,for concentrate for infusion iv,['iv'],['infusion'],concentrate
Solution For Injection (Pre-Filled Syringe),solution for injection pre-filled syringe,for injection pre-filled syringe,[],['injection'],
Solution For Injection (Intravitreal),solution for injection intravitreal,for injection intravitreal,['intravitreal'],['injection'],
Solution for Injection/ 150mg/ml,solution for injection mg ml,for injection mg ml,[],['injection'],
Powder for Concentrate for Solution for IV Infusion,powder for concentrate for solution for iv infusion,for concentrate for solution for iv infusion,['iv'],['infusion'],concentrate
Suspension for Injection (SC) (Formulation: 30% Soluble Insulin and 70% Protamine Insulin Aspart Crystals),suspension for injection sc formulation soluble insulin and protamine insulin aspart crystals,for injection sc formulation soluble insulin and protamine insulin aspart crystals,['sc'],['injection'],
Lyophilized Powder for Concentrate Solution for IV Infusion,lyophilized powder for concentrate solution for iv infusion,for concentrate solution for iv infusion,['iv'],['infusion'],concentrate
Solution For Injection (Sc),solution for injection sc,for injection sc,['sc'],['injection'],
Suspension For Injection (Im),suspension for injection im,for injection im,['im'],['injection'],
Lyophilized Powder For Injection IV,lyophilized powder for injection iv,for injection iv,['iv'],['injection'],
Suspension for Injection (IM/SC),suspension for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
lyophilized powder for solution for injection,lyophilized powder for solution for injection,for solution for injection,[],['injection'],solution
Powder For Solution For Intravenous Infusion,powder for solution for intravenous infusion,for solution for intravenous infusion,['intravenous'],['infusion'],solution
Lyophilized Powder For Injection (SC),lyophilized powder for injection sc,for injection sc,['sc'],['injection'],
Solution For Injection (S.C.),solution for injection sc,for injection sc,['sc'],['injection'],
Suspension for Injection (IM/IV/SC),suspension for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
Solution for Injection (I.V. / S.C.),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Solution for Injection (IV / SC),solution for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
