original,tok_sent,drug_form_phrase,drug_roa_phrase,form_format,roa_format,roa_detail_1,roa_detail_2
Solution For Injection (SC),solution for injection sc,solution,injection sc,solution,,['sc'],['injection']
Suspension for Injection (S.C),suspension for injection sc,suspension,injection sc,suspension,,['sc'],['injection']
"Lyophilized Powder for 
Suspension for Intratracheal Administration",lyophilized powder for suspension for intratracheal administration,lyophilized powder,suspension for intratracheal administration,powder,suspension,['intratracheal'],['suspension']
Solution for Injection (I.V./S.C.),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Solution for Injection (IV/SC),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Solution For Injection (Im/Iv/Sc),solution for injection im iv sc,solution,injection im iv sc,solution,,"['im', 'sc', 'iv']",['injection']
Suspension For Injection (SC),suspension for injection sc,suspension,injection sc,suspension,,['sc'],['injection']
Suspension For Injection,suspension for injection,suspension,injection,suspension,,[],['injection']
Solution for injection,solution for injection,solution,injection,solution,,[],['injection']
Suspension for injection (SC),suspension for injection sc,suspension,injection sc,suspension,,['sc'],['injection']
Solution For Injection (I.V. / S.C.),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Solution For Injection (I.V./S.C.),solution for injection iv sc,solution,injection iv sc,solution,,"['sc', 'iv']",['injection']
Suspension for Injection (IM),suspension for injection im,suspension,injection im,suspension,,['im'],['injection']
Concentrated Solution for IV Infusion,concentrated solution for iv infusion,concentrated solution,iv infusion,solution,,['iv'],['infusion']
Solution for Injection,solution for injection,solution,injection,solution,,[],['injection']
Solution for Injection (IM/SC),solution for injection im sc,solution,injection im sc,solution,,"['im', 'sc']",['injection']
Solution for Injection (SC),solution for injection sc,solution,injection sc,solution,,['sc'],['injection']
Concentrate for Solution for Infusion (IV),concentrate for solution for infusion iv,concentrate,solution for infusion iv,concentrate,solution,['iv'],['infusion']
"Solution for Subcutaneous/Continuous SC Pump Infusion/ 
Intravenous Injection",solution for subcutaneous continuous sc pump infusion intravenous injection,solution,subcutaneous continuous sc pump infusion intravenous injection,solution,,"['intravenous', 'sc']","['injection', 'infusion']"
Powder for Concentrate Solution for I.V. Infusion,powder for concentrate solution for iv infusion,powder,concentrate solution for iv infusion,powder,concentrate,['iv'],['infusion']
Powder for Concentrate Sol ution for I. V. Infusion,powder for concentrate sol ution for i v infusion,powder,concentrate sol ution for i v infusion,powder,concentrate,[],['infusion']
